conditionId,city,entryTs,side,reason,cushion,ourBid,entryPrice,entryFill,exitPrice,exitFill,pnl,status,score,title
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776363840,YES,forecast-in-range,0.50,0.5600,0.1859,71.43,1.0000,71.43,58.1485,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776363900,YES,forecast-in-range,0.50,0.5400,0.1767,74.07,1.0000,74.07,60.9864,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776364050,YES,forecast-in-range,0.50,0.5360,0.1770,74.63,1.0000,74.63,61.4233,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776364140,YES,forecast-in-range,0.50,0.5800,0.1739,68.97,1.0000,68.97,56.9737,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776364170,YES,forecast-in-range,0.50,0.5500,0.1757,72.73,1.0000,72.73,59.9455,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776364200,YES,forecast-in-range,0.50,0.5500,0.1757,72.73,1.0000,72.73,59.9455,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776364290,YES,forecast-in-range,0.50,0.6000,0.1728,66.67,1.0000,66.67,55.1451,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776364410,YES,forecast-in-range,0.50,0.5000,0.1769,80.00,1.0000,80.00,65.8513,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776364440,YES,forecast-in-range,0.50,0.5717,0.1744,69.97,1.0000,69.97,57.7679,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776364560,YES,forecast-in-range,0.50,0.5200,0.1755,76.92,1.0000,76.92,63.4205,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
