city,date,icao,kind,winBucket,omMax,metarMax,omRounded,metarRounded,omAgrees,metarAgrees,delta
Beijing,2026-04-19,ZBAA,exact,23,25.2,23,25,23,false,true,2.2
Busan,2026-04-19,RKPK,exact,25,21.4,25,21,25,false,true,-3.6
Mexico City,2026-03-30,MMMX,exact,20,22.5,20,23,20,false,true,2.5
Wellington,2026-04-06,NZWN,exact,22,19.7,22,20,22,false,true,-2.3
Milan,2026-04-01,LIMC,exact,16,18.2,16,18,16,false,true,2.2
Helsinki,2026-04-20,EFHK,exact,13,14.6,13,15,13,false,true,1.6
Toronto,2026-04-04,CYYZ,exact,7,22,9,22,9,false,false,13
Shenzhen,2026-04-21,ZGSZ,exact,29,29.8,29,30,29,false,true,0.8
Kuala Lumpur,2026-04-12,WMKK,exact,32,34.7,32,35,32,false,true,2.7
Milan,2026-04-12,LIMC,exact,18,21.4,18,21,18,false,true,3.4
Buenos Aires,2026-04-15,SABE,exact,23,24.4,22,24,22,false,false,2.4
Chengdu,2026-04-16,ZUUU,exact,25,25.5,25,26,25,false,true,0.5
Tel Aviv,2026-03-16,LLBG,exact,19,21.3,19,21,19,false,true,2.3
Toronto,2026-04-18,CYYZ,exact,20,19.1,20,19,20,false,true,-0.9
London,2026-04-15,EGLL,exact,17,17.4,16,17,16,true,false,1.4
Buenos Aires,2026-03-23,SABE,exact,27,24.5,25,25,25,false,false,-0.5
Amsterdam,2026-04-20,EHAM,exact,12,12.7,12,13,12,false,true,0.7
Lucknow,2026-04-05,VILK,or_below,≤33,36,29,36,29,false,true,7
Milan,2026-03-24,LIMC,exact,17,17.6,17,18,17,false,true,0.6
Karachi,2026-04-15,OPKC,exact,34,33.3,34,33,34,false,true,-0.7
Amsterdam,2026-04-09,EHAM,exact,20,20.1,20,20,20,true,true,0.1
Tokyo,2026-04-01,RJTT,exact,17,19.2,17,19,17,false,true,2.2
Mexico City,2026-04-21,MMMX,exact,27,26.2,27,26,27,false,true,-0.8
Cape Town,2026-04-17,FACT,exact,16,19.9,16,20,16,false,true,3.9
Seoul,2026-04-04,RKSI,exact,17,20.4,17,20,17,false,true,3.4
Amsterdam,2026-04-03,EHAM,exact,12,15.1,12,15,12,false,true,3.1
Taipei,2026-04-22,RCTP,exact,33,30.7,31,31,31,false,false,-0.3
Tokyo,2026-04-21,RJTT,exact,23,24.8,23,25,23,false,true,1.8
Beijing,2026-04-20,ZBAA,exact,24,25.3,24,25,24,false,true,1.3
Seoul,2026-04-17,RKSI,exact,17,26.4,18,26,18,false,false,8.4
London,2026-04-20,EGLL,exact,13,15.7,14,16,14,false,false,1.7
Tokyo,2026-04-22,RJTT,exact,22,22.6,22,23,22,false,true,0.6
Milan,2026-04-13,LIMC,exact,15,19.1,15,19,15,false,true,4.1
Jakarta,2026-04-20,WIII,exact,34,33.4,33,33,33,false,false,0.4
Wellington,2026-04-20,NZWN,exact,14,16.6,14,17,14,false,true,2.6
Milan,2026-04-21,LIMC,exact,19,22.6,19,23,19,false,true,3.6
Lagos,2026-04-18,DNMM,exact,34,32,34,32,34,false,true,-2
Ankara,2026-04-13,LTAC,exact,12,15.6,12,16,12,false,true,3.6
Lagos,2026-04-12,DNMM,exact,35,32.2,35,32,35,false,true,-2.8
Amsterdam,2026-04-04,EHAM,exact,15,15.1,15,15,15,true,true,0.1
Munich,2026-04-21,EDDM,exact,10,13.5,10,14,10,false,true,3.5
London,2026-03-24,EGLL,exact,13,14.9,13,15,13,false,true,1.9
