snapshot_ts,snapshot_dt,city,date,condition_id,bucket_kind,bucket_lo_c,bucket_hi_c,obs_max_c,obs_max_age_h,current_temp_c,ttr_h,bucket_rel,signed_dist_c,abs_dist_c,yes_price,no_price,yes_price_age_s,no_price_age_s,n_ticks_1h,n_ticks_total,group_size,rank_by_abs_dist,rank_by_yes_price,rank_by_no_price,label,entered_side,entered_price,entered_usdc,entered_pnl,entry_type
1775611999,2026-04-08T01:33:19.000Z,Tokyo,2026-04-08,0xd022cd14c3dcb3d608df1eb422bf66db8c51d5eb9a62e9d4f78aaeaa15734063,or_below,,10,18.3,19.56,12.6,13.44,above_obs,-8.3,8.3,0.001,0.998,64290,47450,0,83,11,11,1,6,0,,,,,
1775611999,2026-04-08T01:33:19.000Z,Tokyo,2026-04-08,0xe5c3e912e4924882a19a5551c8cea973d0c08e8a1e589005c7915e24db2e30bf,exact,13,13,18.3,19.56,12.6,13.44,above_obs,-5.3,5.3,0.001,0.999,5246,4310,0,179,11,8,2,9,0,,,,,
1775611999,2026-04-08T01:33:19.000Z,Tokyo,2026-04-08,0xfe96e18a3256104d1e85f98be65612f17c04450d7244b87890b8931b5551f60d,exact,12,12,18.3,19.56,12.6,13.44,above_obs,-6.3,6.3,0.001,0.998,16984,17956,0,94,11,9,3,7,0,,,,,
1775615647,2026-04-08T02:34:07.000Z,Tokyo,2026-04-08,0x2f060086453dbb590767f40c1baffa94eaf85462533953b039f4a3a191ab149f,exact,19,19,18.3,20.57,13.8,12.43,below_obs,0.7,0.7,0.08,0.956,518,1326,9,276,11,2,8,2,0,,,,,
1775615647,2026-04-08T02:34:07.000Z,Tokyo,2026-04-08,0x2fe500507c6c6fd135527dce94e1d29483136a35f469b4da43db08377286de48,exact,14,14,18.3,20.57,13.8,12.43,above_obs,-4.3,4.3,0.001,0.999,3508,3302,5,192,11,7,1,7,0,,,,,
1775615647,2026-04-08T02:34:07.000Z,Tokyo,2026-04-08,0x3845207a0d66a43daf3a54bcb8526503f99d4d100ae26521c0aa36c32cc4cb5e,exact,20,20,18.3,20.57,13.8,12.43,below_obs,1.7,1.7,0.02155671842075481,0.9779999976527907,494,4,19,353,11,4,7,3,0,,,,,
1775615647,2026-04-08T02:34:07.000Z,Tokyo,2026-04-08,0x4b5dab89e9f3bf0185b22eea47cb1ff2201e84e34bd982ab2f279ea01687ea4c,exact,17,17,18.3,20.57,13.8,12.43,above_obs,-1.3,1.3,,,,,0,0,11,3,,,0,,,,,
1775615647,2026-04-08T02:34:07.000Z,Tokyo,2026-04-08,0x5516c022ad0ecad542e70819107d0e5e239e81df6e342e556a55bb7ae81165fa,exact,16,16,18.3,20.57,13.8,12.43,above_obs,-2.3,2.3,0.08,0.9299999906998978,846,172,29,406,11,5,9,1,0,,,,,
1775615647,2026-04-08T02:34:07.000Z,Tokyo,2026-04-08,0x8e228b111cb806a4aa7e4672fd8e4f1a73056fb6583d7e1b927c06bdea36351b,exact,15,15,18.3,20.57,13.8,12.43,above_obs,-3.3,3.3,0.015,0.984286459708591,1518,348,19,40,11,6,6,4,1,NO,0.9977037037037036,404.0236067777778,,open
1775615647,2026-04-08T02:34:07.000Z,Tokyo,2026-04-08,0x982eacc096a7082a5514b005ecb4b9b5b2644da37d7f7d7163847c4ebdf08e38,exact,18,18,18.3,20.57,13.8,12.43,above_obs,-0.3,0.3,,,,,0,0,11,1,,,0,,,,,
1775615647,2026-04-08T02:34:07.000Z,Tokyo,2026-04-08,0x9e3ea347cc6d3f9d0b2bb68cb3e0a7fb787b70f3b830f7fb3a8aa05d8f7055d5,exact,11,11,18.3,20.57,13.8,12.43,above_obs,-7.3,7.3,0.003,0.999,19738,22690,0,92,11,10,5,8,0,,,,,
1775615647,2026-04-08T02:34:07.000Z,Tokyo,2026-04-08,0xd022cd14c3dcb3d608df1eb422bf66db8c51d5eb9a62e9d4f78aaeaa15734063,or_below,,10,18.3,20.57,13.8,12.43,above_obs,-8.3,8.3,0.001,0.998,67938,51098,0,83,11,11,2,5,0,,,,,
1775615647,2026-04-08T02:34:07.000Z,Tokyo,2026-04-08,0xe5c3e912e4924882a19a5551c8cea973d0c08e8a1e589005c7915e24db2e30bf,exact,13,13,18.3,20.57,13.8,12.43,above_obs,-5.3,5.3,0.001,0.999,8894,7958,0,179,11,8,3,9,0,,,,,
1775615647,2026-04-08T02:34:07.000Z,Tokyo,2026-04-08,0xfe96e18a3256104d1e85f98be65612f17c04450d7244b87890b8931b5551f60d,exact,12,12,18.3,20.57,13.8,12.43,above_obs,-6.3,6.3,0.001,0.998,20632,21604,0,94,11,9,4,6,0,,,,,
1775883761,2026-04-11T05:02:41.000Z,Tokyo,2026-04-11,0x18ca538b6cbbe35c31fa516d79332f6c396f709898b5f28ed6a2a1f997764e53,exact,22,22,25.5,0.04,25.5,9.96,above_obs,-3.5,3.5,0.001,0.999,5194,682,6,811,11,5,1,5,0,,,,,
1775883761,2026-04-11T05:02:41.000Z,Tokyo,2026-04-11,0x19326da16c51d548c390d6fb560aeba5c4ccfb3ddd749614c6664eb6a87051d4,exact,21,21,25.5,0.04,25.5,9.96,above_obs,-4.5,4.5,0.001,0.999,9012,1390,1,530,11,6,2,6,0,,,,,
1775883761,2026-04-11T05:02:41.000Z,Tokyo,2026-04-11,0x38cdb140cbee528998075c96d0b287aa64e1e3e452e4d5c17b2f0c5e31e37010,exact,23,23,25.5,0.04,25.5,9.96,above_obs,-2.5,2.5,0.001,0.999,4424,1360,5,857,11,4,3,7,0,,,,,
1775883761,2026-04-11T05:02:41.000Z,Tokyo,2026-04-11,0x3f49f0c5745897556e4fe20d76380b97e07df61be8351e9a7732586dcdf8dcd6,exact,24,24,25.5,0.04,25.5,9.96,above_obs,-1.5,1.5,0.3269999408129811,0.6989999713674897,422,8,105,223,11,3,10,2,1,NO,0.8751200291158443,643.1225502139289,,open
1775883761,2026-04-11T05:02:41.000Z,Tokyo,2026-04-11,0x4351519b36bd73ea00a9ff9f8fe23c147b649937459424405752e0661a858492,exact,25,25,25.5,0.04,25.5,9.96,above_obs,-0.5,0.5,0.48,0.52,38,30,80,80,11,1,11,1,0,,,,,
1775883761,2026-04-11T05:02:41.000Z,Tokyo,2026-04-11,0x457a43786e5311e31c7fd2c196abfc073ce49ccab343e628612f922acb212a5b,exact,20,20,25.5,0.04,25.5,9.96,above_obs,-5.5,5.5,0.001,0.999,12934,4708,0,493,11,7,4,8,0,,,,,
1775883761,2026-04-11T05:02:41.000Z,Tokyo,2026-04-11,0xb6f802c8e9dee396ceb3063ab01ae15f8d45d8b2c8fa583c8069ae71b5b30908,exact,18,18,25.5,0.04,25.5,9.96,above_obs,-7.5,7.5,0.001,0.999,61478,50512,0,107,11,9,5,9,0,,,,,
1775883761,2026-04-11T05:02:41.000Z,Tokyo,2026-04-11,0xc3eb2bc852215729be1dccbc5260c494ccc5946c21c7589aade713263d3070f7,exact,26,26,25.5,0.04,25.5,9.96,below_obs,0.5,0.5,0.17999986971425594,0.8299999934126971,230,16,71,1495,11,2,9,3,0,,,,,
1775883761,2026-04-11T05:02:41.000Z,Tokyo,2026-04-11,0xd61b23f149bcae53d0c10e26964385ae5d1ca9b4d930ad3957ad902a3633c7c3,exact,17,17,25.5,0.04,25.5,9.96,above_obs,-8.5,8.5,0.001,0.999,51532,42362,0,291,11,10,6,10,0,,,,,
1775883761,2026-04-11T05:02:41.000Z,Tokyo,2026-04-11,0xe0da6a2e278b22864de57968e8b6875b1328f7fd5dc570970fd2d7ca78a33bb6,exact,19,19,25.5,0.04,25.5,9.96,above_obs,-6.5,6.5,0.0016104356228359771,0.9989952100411282,24470,26388,0,277,11,8,8,4,0,,,,,
1775883761,2026-04-11T05:02:41.000Z,Tokyo,2026-04-11,0xf0c7dd449d2c2407e66206e0b6907cd4a9e1afbe6c416311df7eccc058aec5a4,or_below,,16,25.5,0.04,25.5,9.96,above_obs,-9.5,9.5,0.001,0.999,68802,55924,0,391,11,11,7,11,0,,,,,
1775959341,2026-04-12T02:02:21.000Z,Tokyo,2026-04-12,0x199cf18daa723f4b2faef0301e6f397b8419d028bd9955387c7f2ed6be8204f8,exact,14,14,25.5,21.04,19.2,12.96,above_obs,-11.5,11.5,0.001,0.999,70904,61300,0,162,11,10,1,6,0,,,,,
1775959341,2026-04-12T02:02:21.000Z,Tokyo,2026-04-12,0x19f31a17a3cddd19cffafde040c318290dccbcdd105e63f8d431b495d8b06b29,exact,19,19,25.5,21.04,19.2,12.96,above_obs,-6.5,6.5,0.02,0.98,62,184,14,30,11,5,7,3,0,,,,,
1775959341,2026-04-12T02:02:21.000Z,Tokyo,2026-04-12,0x2c97f063c83bc09020b7a9dc60d254304262ba631c77833a46b53719bd0af749,exact,18,18,25.5,21.04,19.2,12.96,above_obs,-7.5,7.5,0.004,0.996,232,128,18,326,11,6,6,4,1,NO,0.9973045598948823,452.2566545704801,,open
1775959341,2026-04-12T02:02:21.000Z,Tokyo,2026-04-12,0x5c96bf381e7eecf576da778a03af38b74ca3821e509698b27bbf9ef3282f3663,exact,21,21,25.5,21.04,19.2,12.96,above_obs,-4.5,4.5,0.64,0.4,226,108,16,16,11,3,9,1,0,,,,,
1775959341,2026-04-12T02:02:21.000Z,Tokyo,2026-04-12,0x6246fc44754d759b32b67dae570ab09a197857e44ae12666c0afd2990e305eac,exact,22,22,25.5,21.04,19.2,12.96,above_obs,-3.5,3.5,,,,,0,0,11,2,,,0,,,,,
1775959341,2026-04-12T02:02:21.000Z,Tokyo,2026-04-12,0x80dc484b368b5fcfb21ad78becc84c1e0417c6e726e2d56f06664d2e75085eea,exact,17,17,25.5,21.04,19.2,12.96,above_obs,-8.5,8.5,0.001,0.999,34788,35774,0,232,11,7,2,7,0,,,,,
1775959341,2026-04-12T02:02:21.000Z,Tokyo,2026-04-12,0x98abc911e4462aac3e472e89484d8d9e2bafd6cbb581f7d18572e155d68f25fe,exact,16,16,25.5,21.04,19.2,12.96,above_obs,-9.5,9.5,0.001,0.999,65046,39240,0,146,11,8,3,8,0,,,,,
1775959341,2026-04-12T02:02:21.000Z,Tokyo,2026-04-12,0xc98123c774b8589d6e12033699edf7d00d770e15e85fac51239a99d01458bfc1,exact,20,20,25.5,21.04,19.2,12.96,above_obs,-5.5,5.5,0.16999988609996242,0.83,84,154,46,460,11,4,8,2,0,,,,,
1775959341,2026-04-12T02:02:21.000Z,Tokyo,2026-04-12,0xfc823637177e1490aee71fd2f5f9608dbac7d9a1e1ba3012d6820f0bf3bc206a,or_below,,13,25.5,21.04,19.2,12.96,above_obs,-12.5,12.5,0.001,0.999,91902,90110,0,108,11,11,4,9,0,,,,,
1775959341,2026-04-12T02:02:21.000Z,Tokyo,2026-04-12,0xff750dfb94f0732c58933496949814a7cea5e9b250fbd85ddcdec8758b378156,exact,23,23,25.5,21.04,19.2,12.96,above_obs,-2.5,2.5,,,,,0,0,11,1,,,0,,,,,
1775959341,2026-04-12T02:02:21.000Z,Tokyo,2026-04-12,0xffe364f9005dea560495b1826137f8abbb0cd5325bc752fed9f01426d74ab847,exact,15,15,25.5,21.04,19.2,12.96,above_obs,-10.5,10.5,0.002,0.998829411658643,70904,70716,0,67,11,9,5,5,0,,,,,
1775962951,2026-04-12T03:02:31.000Z,Tokyo,2026-04-12,0x199cf18daa723f4b2faef0301e6f397b8419d028bd9955387c7f2ed6be8204f8,exact,14,14,25.5,22.04,20.1,11.96,above_obs,-11.5,11.5,0.001,0.999,74514,64910,0,162,11,10,1,6,0,,,,,
1775962951,2026-04-12T03:02:31.000Z,Tokyo,2026-04-12,0x19f31a17a3cddd19cffafde040c318290dccbcdd105e63f8d431b495d8b06b29,exact,19,19,25.5,22.04,20.1,11.96,above_obs,-6.5,6.5,0.015773181647903152,0.984,210,66,33,63,11,5,7,4,1,NO,0.9949582931018277,2328.232224758321,,open
1775962951,2026-04-12T03:02:31.000Z,Tokyo,2026-04-12,0x2c97f063c83bc09020b7a9dc60d254304262ba631c77833a46b53719bd0af749,exact,18,18,25.5,22.04,20.1,11.96,above_obs,-7.5,7.5,0.001,0.999,2834,278,10,345,11,6,2,7,0,,,,,
